STATE_NAME,STATE_ABBREV,adoption_year
Alaska,AK,2006
Alabama,AL,2006
Arkansas,AR,2006
Arizona,AZ,2006
California,CA,2007
Colorado,CO,2006
Connecticut,CT,2006
Delaware,DE,2006
Florida,FL,2006
Georgia,GA,2006
Iowa,IA,2006
Idaho,ID,2006
Illinois,IL,2006
Indiana,IN,2006
Kansas,KS,2006
Kentucky,KY,2006
Louisiana,LA,2006
Massachusetts,MA,2006
Maryland,MD,2006
Maine,ME,2006
Michigan,MI,2006
Minnesota,MN,2007
Missouri,MO,2006
Mississippi,MS,2006
Montana,MT,2006
North Carolina,NC,2006
North Dakota,ND,2006
Nebraska,NE,2006
New Hampshire,NH,2006
New Jersey,NJ,2006
New Mexico,NM,2006
Nevada,NV,2006
New York,NY,2012
Ohio,OH,2006
Oklahoma,OK,2006
Oregon,OR,2006
Pennsylvania,PA,2006
Rhode Island,RI,2006
South Carolina,SC,2006
South Dakota,SD,2008
Tennessee,TN,2006
Texas,TX,2006
Utah,UT,2006
Virginia,VA,2006
Vermont,VT,2006
Washington,WA,2006
Wisconsin,WI,2006
West Virginia,WV,2006
Wyoming,WY,2006
